WKT,name,description
"POINT (36.757254 46.811837 0.0)",Strike,



 
"POINT (35.712934 47.264852 0.0)",Strike,
"POINT (35.227046 47.268631 0.0)",Strike,
"POINT (32.720888 46.664453 0.0)",Iskander Strike,


"POINT (35.193631 47.874499 0.0)",Shahed Strike,overnight, unsure where
"POINT (37.662223 47.84941 0.0)",Russian D-20 Damaged,


"POINT (36.924804 48.310922 0.0)",Russians Bomb School,


"POINT (38.02188 49.041076 0.0)",Russian Tank Damaged by FPV Drone,


"POINT (37.909528 48.693442 0.0)",Russian T-62M Damaged by Mines,


"POINT (32.723117 46.634906 0.0)",Russian Tiger-M destroyed,


"POINT (37.710737 48.194758 0.0)",Russian Grad Strike,


"POINT (37.524778 47.894056 0.0)",Russian T-62MV Detonated,


"POINT (37.902736 49.638713 0.0)",Airstrike,
"POINT (38.24653 48.924017 0.0)",Airstrike,
"POINT (38.24138 48.808797 0.0)",Airstrike,
"POINT (38.076598 48.751865 0.0)",Airstrike,
"POINT (37.834451 48.335535 0.0)",Airstrike,
"POINT (37.745685 48.131157 0.0)",Airstrike,
"POINT (37.479578 47.950096 0.0)",Airstrike,
"POINT (36.813831 47.79968 0.0)",Airstrike,
"POINT (36.991782 47.795379 0.0)",Airstrike,
"POINT (32.718011 46.676769 0.0)",Airstrike,
